"source","target","trackspeed"
"BEYBNDS","BEFGDM","110.0"
"BELZD","BEYLZDF","140.0"
"BEYFCVO","BEFCV","60.0"
"BEYARST","BEYFCVN","50.0"
"BEYFCVN","BEFCV","60.0"
"BEFN","BEYARST","50.0"
"BEFGZH","BEFGDM","40.0"
"BEYBNDS","BEFGZH","40.0"
"BEFZI","BELAS","120.0"
"BELHL","BEFMHT","120.0"
"BELEZ","BEFEK","120.0"
"BEFKW","BELEZ","120.0"
"BELAS","BELHL","120.0"
"BEFSI","BEFDR","120.0"
"BEFJT","BEFZI","120.0"
"BEFEK","BEFSI","120.0"
"BEFMHT","BEFKW","120.0"
"BEFR","BERFRE","65.0"
"BERFRE","BELZMEG","120.0"
"BEFNM","BEVHESS","120.0"
"BEFRL","BELZG","120.0"
"BELZGSS","BEFNM","120.0"
"BEVHESS","BEYLKW","120.0"
"BELZG","BELZGSS","120.0"
"BEYLEBR","BELK","40.0"
"BEYLKW","BEYLEBR","60.0"
"BEFRT","BEFLC","120.0"
"BELZMEG","BELZM","120.0"
"BEFLC","BEFRL","120.0"
"BELZM","BEFRT","120.0"
"BEYBETH","BEYLEBR","40.0"
"BEFME","BELWK","120.0"
"BEFI","BEFPP","120.0"
"BEFWM","BEFME","120.0"
"BEFOI","BEFI","120.0"
